,MSE,P,used_vars,R_adj
10,816802417.6862892,24,"['Neighborhood_Crawfor_x_Gr_Liv_Area', 'Kitchen_Qual_Gd', 'Garage_Cars', 'Overall_Qual_Good_or_Excellent', 'Bsmt_Qual_Gd', 'Fireplaces', 'MS_Zoning_RL', 'Kitchen_Qual_TA', 'House_Style_1Story', 'Neighborhood_NridgHt_x_Gr_Liv_Area', 'Central_Air_Y', 'Bedroom_AbvGr', 'Lot_Area', 'Area_Per_Room_c_', 'Garage_Area', '1st_Flr_SF', 'Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_', 'TotRms_AbvGrd', 'Gr_Liv_Area', 'Total_Bsmt_SF', 'Bsmt_Qual_Gd_x_Bsmt_Prop_c_', '2nd_Flr_SF', 'Year_Built', 'Antique_c_']",0.8841882013194071
11,820309860.6962246,23,"['Kitchen_Qual_Gd', 'Garage_Cars', 'Overall_Qual_Good_or_Excellent', 'Bsmt_Qual_Gd', 'Fireplaces', 'MS_Zoning_RL', 'Kitchen_Qual_TA', 'House_Style_1Story', 'Neighborhood_NridgHt_x_Gr_Liv_Area', 'Central_Air_Y', 'Bedroom_AbvGr', 'Lot_Area', 'Area_Per_Room_c_', 'Garage_Area', '1st_Flr_SF', 'Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_', 'TotRms_AbvGrd', 'Gr_Liv_Area', 'Total_Bsmt_SF', 'Bsmt_Qual_Gd_x_Bsmt_Prop_c_', '2nd_Flr_SF', 'Year_Built', 'Antique_c_']",0.884319590088912
12,844406144.6700691,22,"['Garage_Cars', 'Overall_Qual_Good_or_Excellent', 'Bsmt_Qual_Gd', 'Fireplaces', 'MS_Zoning_RL', 'Kitchen_Qual_TA', 'House_Style_1Story', 'Neighborhood_NridgHt_x_Gr_Liv_Area', 'Central_Air_Y', 'Bedroom_AbvGr', 'Lot_Area', 'Area_Per_Room_c_', 'Garage_Area', '1st_Flr_SF', 'Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_', 'TotRms_AbvGrd', 'Gr_Liv_Area', 'Total_Bsmt_SF', 'Bsmt_Qual_Gd_x_Bsmt_Prop_c_', '2nd_Flr_SF', 'Year_Built', 'Antique_c_']",0.8815617297842492
13,838038925.4395816,21,"['Overall_Qual_Good_or_Excellent', 'Bsmt_Qual_Gd', 'Fireplaces', 'MS_Zoning_RL', 'Kitchen_Qual_TA', 'House_Style_1Story', 'Neighborhood_NridgHt_x_Gr_Liv_Area', 'Central_Air_Y', 'Bedroom_AbvGr', 'Lot_Area', 'Area_Per_Room_c_', 'Garage_Area', '1st_Flr_SF', 'Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_', 'TotRms_AbvGrd', 'Gr_Liv_Area', 'Total_Bsmt_SF', 'Bsmt_Qual_Gd_x_Bsmt_Prop_c_', '2nd_Flr_SF', 'Year_Built', 'Antique_c_']",0.8830833939153815
14,830345168.7422578,20,"['Bsmt_Qual_Gd', 'Fireplaces', 'MS_Zoning_RL', 'Kitchen_Qual_TA', 'House_Style_1Story', 'Neighborhood_NridgHt_x_Gr_Liv_Area', 'Central_Air_Y', 'Bedroom_AbvGr', 'Lot_Area', 'Area_Per_Room_c_', 'Garage_Area', '1st_Flr_SF', 'Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_', 'TotRms_AbvGrd', 'Gr_Liv_Area', 'Total_Bsmt_SF', 'Bsmt_Qual_Gd_x_Bsmt_Prop_c_', '2nd_Flr_SF', 'Year_Built', 'Antique_c_']",0.8847729538097817
15,840494059.7602732,19,"['Fireplaces', 'MS_Zoning_RL', 'Kitchen_Qual_TA', 'House_Style_1Story', 'Neighborhood_NridgHt_x_Gr_Liv_Area', 'Central_Air_Y', 'Bedroom_AbvGr', 'Lot_Area', 'Area_Per_Room_c_', 'Garage_Area', '1st_Flr_SF', 'Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_', 'TotRms_AbvGrd', 'Gr_Liv_Area', 'Total_Bsmt_SF', 'Bsmt_Qual_Gd_x_Bsmt_Prop_c_', '2nd_Flr_SF', 'Year_Built', 'Antique_c_']",0.8839817101900594
16,879359607.3540509,18,"['MS_Zoning_RL', 'Kitchen_Qual_TA', 'House_Style_1Story', 'Neighborhood_NridgHt_x_Gr_Liv_Area', 'Central_Air_Y', 'Bedroom_AbvGr', 'Lot_Area', 'Area_Per_Room_c_', 'Garage_Area', '1st_Flr_SF', 'Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_', 'TotRms_AbvGrd', 'Gr_Liv_Area', 'Total_Bsmt_SF', 'Bsmt_Qual_Gd_x_Bsmt_Prop_c_', '2nd_Flr_SF', 'Year_Built', 'Antique_c_']",0.8792557308831923
17,898186364.5593266,17,"['Kitchen_Qual_TA', 'House_Style_1Story', 'Neighborhood_NridgHt_x_Gr_Liv_Area', 'Central_Air_Y', 'Bedroom_AbvGr', 'Lot_Area', 'Area_Per_Room_c_', 'Garage_Area', '1st_Flr_SF', 'Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_', 'TotRms_AbvGrd', 'Gr_Liv_Area', 'Total_Bsmt_SF', 'Bsmt_Qual_Gd_x_Bsmt_Prop_c_', '2nd_Flr_SF', 'Year_Built', 'Antique_c_']",0.877316345113244
18,914226355.372841,16,"['House_Style_1Story', 'Neighborhood_NridgHt_x_Gr_Liv_Area', 'Central_Air_Y', 'Bedroom_AbvGr', 'Lot_Area', 'Area_Per_Room_c_', 'Garage_Area', '1st_Flr_SF', 'Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_', 'TotRms_AbvGrd', 'Gr_Liv_Area', 'Total_Bsmt_SF', 'Bsmt_Qual_Gd_x_Bsmt_Prop_c_', '2nd_Flr_SF', 'Year_Built', 'Antique_c_']",0.8757758243476903
19,914981095.0482981,15,"['Neighborhood_NridgHt_x_Gr_Liv_Area', 'Central_Air_Y', 'Bedroom_AbvGr', 'Lot_Area', 'Area_Per_Room_c_', 'Garage_Area', '1st_Flr_SF', 'Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_', 'TotRms_AbvGrd', 'Gr_Liv_Area', 'Total_Bsmt_SF', 'Bsmt_Qual_Gd_x_Bsmt_Prop_c_', '2nd_Flr_SF', 'Year_Built', 'Antique_c_']",0.8763174510075049
