,Variable,Mean_Loss,Std_Loss
0,Bedroom_AbvGr,0.004559685024732194,4.5738017972517675e-05
1,BsmtFin_SF_1,0.004569942444255194,7.07395628906203e-05
2,BsmtFin_SF_2,0.004607084791491863,1.0654196611517079e-05
3,Bsmt_Full_Bath,0.004727844638286027,5.1709916810808636e-05
4,Bsmt_Half_Bath,0.004620648257114864,3.331505876768461e-05
5,Bsmt_Unf_SF,0.004591362442978264,6.665991439450777e-05
6,Enclosed_Porch,0.004620666438020901,3.6843056297698436e-05
7,Fireplaces,0.004941373688630995,5.8171639028567166e-05
8,First_Flr_SF,0.004984181871511903,5.971682865638786e-05
9,Full_Bath,0.004715452785927833,5.338394934095209e-05
10,Garage_Area,0.0047190086647573605,3.963903693946126e-05
11,Garage_Cars,0.004681410833946589,4.5334572911009625e-05
12,Gr_Liv_Area,0.004980131038130594,6.98052596977052e-05
13,Half_Bath,0.004671107755520419,7.860130941891732e-05
14,Kitchen_AbvGr,0.004622657029984318,9.46361182609083e-06
15,Latitude,0.004665495884855109,5.176958643540735e-05
16,Longitude,0.004539546211523423,5.6159585795061685e-05
17,Lot_Area,0.004646403888733658,4.815284148315528e-05
18,Lot_Frontage,0.004581678095328597,6.258757786703393e-05
19,Mas_Vnr_Area,0.004730532628854672,7.202784539902922e-05
20,Misc_Val,0.004604391243752576,2.3485089600620464e-06
21,Open_Porch_SF,0.0047194855737141194,7.932894001740328e-05
22,Pool_Area,0.004602133188504117,2.1818683754192893e-06
23,Screen_Porch,0.004676672267595831,4.093723575313861e-05
24,Second_Flr_SF,0.0046422061154046046,7.372837112415265e-05
25,Three_season_porch,0.004617802460345861,1.3987342882488294e-05
26,TotRms_AbvGrd,0.004684734156641047,6.38523454023523e-05
27,Total_Bsmt_SF,0.004920567403341027,5.839691210452301e-05
28,Wood_Deck_SF,0.004565146037767316,5.172437464736887e-05
29,Year_Built,0.0045367092560992485,2.925943309839581e-05
30,Year_Remod_Add,0.004678204608835615,4.1524508895989555e-05
31,area_per_car,0.004503427135948797,4.421932850819256e-05
32,last_remod,0.004534309956521175,3.992453370201758e-05
33,wood_prop,0.004527916296786513,5.1488123772070446e-05
34,MS_SubClass_One_Story_1945_and_Older,0.004557803752385141,9.770918615167057e-06
35,MS_SubClass_One_Story_1946_and_Newer_All_Styles,0.00454267029533708,3.624168979485066e-05
36,MS_SubClass_One_Story_PUD_1946_and_Newer,0.004586589128200637,6.328926926158628e-06
37,MS_SubClass_One_and_Half_Story_Finished_All_Ages,0.004604592205047405,6.261670858665943e-06
38,MS_SubClass_One_and_Half_Story_Unfinished_All_Ages,0.00460311322498069,2.089791629907646e-06
39,MS_SubClass_Split_Foyer,0.004601669156534674,2.097415909119086e-06
40,MS_SubClass_Split_or_Multilevel,0.00461613073197577,3.3353607404484287e-06
41,MS_SubClass_Two_Family_conversion_All_Styles_and_Ages,0.004601159687068301,2.3990894538223375e-06
42,MS_SubClass_Two_Story_1945_and_Older,0.004623380411469302,5.842340498785218e-06
43,MS_SubClass_Two_Story_1946_and_Newer,0.00456892511000794,2.6149450496721436e-05
44,MS_SubClass_Two_Story_PUD_1946_and_Newer,0.004582559562387105,5.384785617062945e-06
45,MS_SubClass_infrequent_sklearn,0.00459023748367125,2.433707281361219e-06
46,MS_Zoning_Floating_Village_Residential,0.004621094498938816,5.606329534639418e-06
47,MS_Zoning_Residential_High_Density,0.004600055893193345,2.284974439722307e-06
48,MS_Zoning_Residential_Low_Density,0.0046254271694651725,1.911857087193431e-05
49,MS_Zoning_Residential_Medium_Density,0.004597443630696175,7.882926187050386e-06
50,MS_Zoning_infrequent_sklearn,0.004603602272992691,2.1038580442022987e-06
51,Street_infrequent_sklearn,0.004601318729068457,2.146751978918716e-06
52,Alley_No_Alley_Access,0.004575279708643035,6.553311669649678e-06
53,Alley_Paved,0.00457941458016161,5.158931362815869e-06
54,Lot_Shape_Regular,0.0045614847196356785,5.8915276403085086e-05
55,Lot_Shape_Slightly_Irregular,0.004562475424134933,4.6215648472744805e-05
56,Lot_Shape_infrequent_sklearn,0.004602149538992209,2.1495342326733717e-06
57,Land_Contour_HLS,0.004629313527248147,2.6693411107976525e-05
58,Land_Contour_Low,0.004607714922259988,2.947058872224678e-06
59,Land_Contour_Lvl,0.004638556007922032,1.9574819149471404e-05
60,Utilities_infrequent_sklearn,0.004601318729068457,2.146751978918716e-06
61,Lot_Config_CulDSac,0.004620936279111988,1.3265582390101847e-05
62,Lot_Config_FR2,0.004600552175974127,6.22046420107806e-06
63,Lot_Config_Inside,0.004607249100492332,4.386995804575303e-05
64,Lot_Config_infrequent_sklearn,0.004601492878558847,2.3965969000943347e-06
65,Land_Slope_Mod,0.004625792025625278,6.000521877522318e-06
66,Land_Slope_infrequent_sklearn,0.004597055493079863,2.1447629599365124e-06
67,Neighborhood_Briardale,0.004601306877698222,2.1482606232718224e-06
68,Neighborhood_Brookside,0.004604163411884559,2.64103255601493e-06
69,Neighborhood_Clear_Creek,0.004601637452248455,2.8173764467525937e-06
70,Neighborhood_College_Creek,0.004552177735358326,3.18514208773374e-05
71,Neighborhood_Crawford,0.0046259225089086455,4.877800527789457e-06
72,Neighborhood_Edwards,0.004581657562750009,6.890538697592766e-06
73,Neighborhood_Gilbert,0.004591796336776472,9.643954389295713e-06
74,Neighborhood_Iowa_DOT_and_Rail_Road,0.004600648805938546,3.2611856798945685e-06
75,Neighborhood_Meadow_Village,0.004599962086081638,2.1567214350390893e-06
76,Neighborhood_Mitchell,0.004594259507276525,6.966069450055597e-06
77,Neighborhood_North_Ames,0.004594418607754418,1.2605223979816262e-05
78,Neighborhood_Northpark_Villa,0.004601251669223934,2.1994719890629534e-06
79,Neighborhood_Northridge,0.0046039509326296305,4.146694594009623e-06
80,Neighborhood_Northridge_Heights,0.004624684857746345,2.227444973062781e-05
81,Neighborhood_Northwest_Ames,0.004597534095571268,8.148085874053569e-06
82,Neighborhood_Old_Town,0.004588346630829091,5.4272993642174074e-06
83,Neighborhood_Sawyer,0.004600778438577993,3.2910449507875815e-06
84,Neighborhood_Sawyer_West,0.004606818581538184,6.959750408388377e-06
85,Neighborhood_Somerset,0.004621916877337797,1.0912231715503552e-05
86,Neighborhood_South_and_West_of_Iowa_State_University,0.004600605305423226,2.2182162079985055e-06
87,Neighborhood_Stone_Brook,0.004710760483542271,1.0122020678210382e-05
88,Neighborhood_Timberland,0.004647986673049947,1.4489822858849543e-05
89,Neighborhood_Veenker,0.004589124807635054,2.157216291785361e-06
90,Neighborhood_infrequent_sklearn,0.0046013668593922535,2.1467744341916774e-06
91,Condition_1_Feedr,0.00460098740148948,6.645082961547893e-06
92,Condition_1_Norm,0.004569780535294635,1.1609548352250866e-05
93,Condition_1_PosN,0.0046014346449491424,2.8711500426029904e-06
94,Condition_1_RRAe,0.004601579284501168,2.386149167181302e-06
95,Condition_1_RRAn,0.0045982781168635,3.1317557818265197e-06
96,Condition_1_infrequent_sklearn,0.004617974817392657,4.0149629769896725e-06
97,Condition_2_infrequent_sklearn,0.004618443919019744,4.121037163535267e-06
98,Bldg_Type_OneFam,0.00457736299133202,1.520307018031769e-05
99,Bldg_Type_Twnhs,0.004601910489799496,3.182907212684929e-06
100,Bldg_Type_TwnhsE,0.004604151780743047,9.09614835801252e-06
101,Bldg_Type_TwoFmCon,0.004601082602672189,2.345464190435209e-06
102,House_Style_One_and_Half_Fin,0.004604736979613941,6.441524756774083e-06
103,House_Style_One_and_Half_Unf,0.004603035762113829,2.216707242764939e-06
104,House_Style_SFoyer,0.004601158706256342,2.444033480887824e-06
105,House_Style_SLvl,0.004616085971082642,3.6572599180372065e-06
106,House_Style_Two_Story,0.004563162807277485,2.8252175113413184e-05
107,House_Style_infrequent_sklearn,0.004590585903742101,2.9558838620646837e-06
108,Overall_Cond_Average,0.004633287028200967,6.859138914140114e-05
109,Overall_Cond_Below_Average,0.004602865988916547,2.7590451292938585e-06
110,Overall_Cond_Excellent,0.004601398059667586,2.3087686354965863e-06
111,Overall_Cond_Fair,0.004605072378209276,2.129418049353641e-06
112,Overall_Cond_Good,0.00459294697914896,1.592927923665713e-05
113,Overall_Cond_Very_Good,0.004604568032606664,4.4453723457168675e-06
114,Overall_Cond_infrequent_sklearn,0.004601318729068457,2.146751978918716e-06
115,Roof_Style_Gable,0.004540362234258889,7.481418889147373e-05
116,Roof_Style_Hip,0.004538937368618077,7.227680322540069e-05
117,Roof_Style_infrequent_sklearn,0.004601547311398458,2.3330152577044406e-06
118,Roof_Matl_Tar&Grv,0.004598280719985078,2.149036533121931e-06
119,Roof_Matl_infrequent_sklearn,0.004601140407766701,2.4415424674062605e-06
120,Exterior_1st_BrkFace,0.004627765407035932,3.196734184870602e-06
121,Exterior_1st_CemntBd,0.004608491446453338,1.4698401893783304e-05
122,Exterior_1st_HdBoard,0.0046124169770774374,5.588800469821538e-05
123,Exterior_1st_MetalSd,0.004599554218274976,1.8549467867790935e-05
124,Exterior_1st_Plywood,0.004594029724168151,8.06977612517206e-06
125,Exterior_1st_Stucco,0.004602715088575186,2.1675444743593103e-06
126,Exterior_1st_VinylSd,0.004535551585368188,4.3019004602161584e-05
127,Exterior_1st_Wd Sdng,0.004575386027558761,9.023630678663224e-06
128,Exterior_1st_WdShing,0.004602162084820723,4.267325685223867e-06
129,Exterior_1st_infrequent_sklearn,0.004601255058005414,2.2804795539828927e-06
130,Exterior_2nd_BrkFace,0.004606347414887473,2.2833628527848785e-06
131,Exterior_2nd_CmentBd,0.004606604155486419,1.779476891557837e-05
132,Exterior_2nd_HdBoard,0.004616168335373615,3.982418146917248e-05
133,Exterior_2nd_MetalSd,0.0045767644611645125,1.3744010678527967e-05
134,Exterior_2nd_Plywood,0.004585569059651337,8.968663733462429e-06
135,Exterior_2nd_Stucco,0.004601677964869182,2.1592114636968385e-06
136,Exterior_2nd_VinylSd,0.004546945633186803,4.461418870653829e-05
137,Exterior_2nd_Wd Sdng,0.004576484008749725,8.769359616504847e-06
138,Exterior_2nd_Wd Shng,0.0045917692153061955,4.306208471900031e-06
139,Exterior_2nd_infrequent_sklearn,0.004601365452780766,3.2770755607839402e-06
140,Mas_Vnr_Type_BrkFace,0.0045802234220390335,5.057669694305223e-05
141,Mas_Vnr_Type_Stone,0.004587597622822554,3.020644665033418e-05
142,Mas_Vnr_Type_nan,0.004621409470073437,3.2494503626628435e-05
143,Exter_Cond_Good,0.0045811026815538,5.561944836256959e-06
144,Exter_Cond_Typical,0.004588670761688846,1.1170460340300746e-05
145,Exter_Cond_infrequent_sklearn,0.004601328287689492,2.1513623081957513e-06
146,Foundation_CBlock,0.004571815424584967,2.9426637256242447e-05
147,Foundation_PConc,0.004577016880960686,3.19740185885472e-05
148,Foundation_Slab,0.004601832317164458,2.1997416035606017e-06
149,Foundation_infrequent_sklearn,0.004601318729068457,2.146751978918716e-06
150,Bsmt_Cond_Good,0.004595624603803602,5.734069249461885e-06
151,Bsmt_Cond_No_Basement,0.004605999601926653,2.678183119829715e-06
152,Bsmt_Cond_Typical,0.004604348789569926,9.55988369012026e-06
153,Bsmt_Cond_infrequent_sklearn,0.004601318729068457,2.146751978918716e-06
154,Bsmt_Exposure_Gd,0.0045656436059178,4.497813782531409e-05
155,Bsmt_Exposure_Mn,0.004601047891829963,1.9191374251144946e-05
156,Bsmt_Exposure_No,0.004534846235606931,6.802841801900531e-05
157,Bsmt_Exposure_No_Basement,0.004606232691578956,3.1797081987823803e-06
158,BsmtFin_Type_1_BLQ,0.004592839750725872,5.902152815962006e-06
159,BsmtFin_Type_1_GLQ,0.004541472523106075,3.8537896904095393e-05
160,BsmtFin_Type_1_LwQ,0.004606436663982139,5.510353638770483e-06
161,BsmtFin_Type_1_No_Basement,0.004606402382012911,2.7693070872441783e-06
162,BsmtFin_Type_1_Rec,0.00459012503422589,5.008086512962436e-06
163,BsmtFin_Type_1_Unf,0.004572886695278819,2.7501609543617786e-05
164,BsmtFin_Type_2_BLQ,0.004597420554839191,2.6513544584560683e-06
165,BsmtFin_Type_2_GLQ,0.004601312641347255,2.1639914872320816e-06
166,BsmtFin_Type_2_LwQ,0.004600955488003456,2.763447165714309e-06
167,BsmtFin_Type_2_No_Basement,0.004606481578498946,2.790750752575593e-06
168,BsmtFin_Type_2_Rec,0.004610851079855942,4.575512773582066e-06
169,BsmtFin_Type_2_Unf,0.00461293081799253,8.123097225970694e-06
170,Heating_GasW,0.004600346036684177,2.3630137472804476e-06
171,Heating_infrequent_sklearn,0.004601269874202081,2.1220179421593623e-06
172,Heating_QC_Fair,0.0046013646460791174,2.7109937933751494e-06
173,Heating_QC_Good,0.00458403469368795,1.3244727960993715e-05
174,Heating_QC_Typical,0.004630463440341791,1.9086128070958068e-05
175,Heating_QC_infrequent_sklearn,0.004601318729068457,2.146751978918716e-06
176,Central_Air_Y,0.004611865474628037,3.7630077452585465e-06
177,Electrical_FuseF,0.004601968286879938,2.466935187922118e-06
178,Electrical_SBrkr,0.00459672932274364,4.742125615652533e-06
179,Electrical_infrequent_sklearn,0.004601318729068457,2.146751978918716e-06
180,Functional_Min1,0.004595505839875583,4.218409410148561e-06
181,Functional_Min2,0.004596379205585224,3.4666856286805035e-06
182,Functional_Mod,0.004601319443876588,2.147906329374002e-06
183,Functional_Typ,0.0045882172993365975,4.677926122978363e-06
184,Functional_infrequent_sklearn,0.004601323693334026,2.1906912005272893e-06
185,Garage_Type_Basment,0.004601623852933826,2.2577767492036306e-06
186,Garage_Type_BuiltIn,0.004659452192582228,1.3913846252598645e-05
187,Garage_Type_Detchd,0.00462151736870058,1.2843995312626597e-05
188,Garage_Type_More_Than_Two_Types,0.004601394753390241,2.2312465677382476e-06
189,Garage_Type_No_Garage,0.004557701117837314,8.221946564638006e-06
190,Garage_Type_infrequent_sklearn,0.004602751226342114,2.147420312615627e-06
191,Garage_Finish_No_Garage,0.004560330883511816,1.2916592402802072e-05
192,Garage_Finish_RFn,0.004613222859603408,4.6287175973677605e-05
193,Garage_Finish_Unf,0.004616814506823289,2.5278782766272225e-05
194,Garage_Cond_No_Garage,0.004561119844044292,1.3936316652085705e-05
