,Variable,Mean_Loss,Std_Loss
0,MS_SubClass_One_Story_1945_and_Older,0.0037578345825230574,2.2143672485695777e-06
1,MS_SubClass_One_Story_1946_and_Newer_All_Styles,0.0037634045169502688,3.7456051866309385e-06
2,MS_SubClass_One_Story_PUD_1946_and_Newer,0.0037575555183668747,1.8061658825495277e-06
3,MS_SubClass_One_Story_with_Finished_Attic_All_Ages,0.003754789365675044,1.3652524357662834e-06
4,MS_SubClass_One_and_Half_Story_Finished_All_Ages,0.003756074884672101,1.6222887473116813e-06
5,MS_SubClass_One_and_Half_Story_Unfinished_All_Ages,0.0037547916038517147,1.3655592411303568e-06
6,MS_SubClass_PUD_Multilevel_Split_Level_Foyer,0.003754789365675044,1.3652524357662834e-06
7,MS_SubClass_Split_Foyer,0.0037548501832868225,1.372544752895218e-06
8,MS_SubClass_Split_or_Multilevel,0.0037547086140234994,1.475691585621055e-06
9,MS_SubClass_Two_Family_conversion_All_Styles_and_Ages,0.003754789365675044,1.3652524357662834e-06
10,MS_SubClass_Two_Story_1945_and_Older,0.0037585604558977538,1.4655146613516636e-06
11,MS_SubClass_Two_Story_1946_and_Newer,0.0037877888600619486,1.8418264076398822e-05
12,MS_SubClass_Two_Story_PUD_1946_and_Newer,0.0037549065957184014,1.684111338882882e-06
13,MS_SubClass_Two_and_Half_Story_All_Ages,0.003754867581156318,1.5094309906012582e-06
14,MS_Zoning_C_all,0.003754783303132413,1.3986911196177152e-06
15,MS_Zoning_Floating_Village_Residential,0.0037578124616784985,1.4580718840959342e-06
16,MS_Zoning_I_all,0.003754789365675044,1.3652524357662834e-06
17,MS_Zoning_Residential_High_Density,0.003754789365675044,1.3652524357662834e-06
18,MS_Zoning_Residential_Low_Density,0.0037767887941424065,9.111070867464066e-06
19,MS_Zoning_Residential_Medium_Density,0.003757666771569313,5.627454545057065e-06
20,Street_Pave,0.003754789365675044,1.3652524357662834e-06
21,Alley_No_Alley_Access,0.0037545853373099182,1.4136175432275814e-06
22,Alley_Paved,0.0037548731985898027,1.3620107583037616e-06
23,Lot_Shape_Moderately_Irregular,0.0037535992166876603,2.0394962342202347e-06
24,Lot_Shape_Regular,0.00376451674164434,8.852027264798694e-06
25,Lot_Shape_Slightly_Irregular,0.0037579993957306064,5.480542632645084e-06
26,Land_Contour_HLS,0.0037566396786188772,2.4496154620183838e-06
27,Land_Contour_Low,0.0037644884277170925,1.8614733265220157e-06
28,Land_Contour_Lvl,0.003763128795255804,3.000135539217434e-06
29,Utilities_NoSeWa,0.003754789365675044,1.3652524357662834e-06
30,Utilities_NoSewr,0.003754789365675044,1.3652524357662834e-06
31,Lot_Config_CulDSac,0.003758120051042836,1.4778731407967567e-06
32,Lot_Config_FR2,0.003754882606879682,1.3539994633884505e-06
33,Lot_Config_FR3,0.003754789365675044,1.3652524357662834e-06
34,Lot_Config_Inside,0.003752696874114426,2.8900892156941156e-06
35,Land_Slope_Mod,0.0037555713380965678,1.711534968992292e-06
36,Land_Slope_Sev,0.003754831627104665,1.4232227573468558e-06
37,Neighborhood_Blueste,0.003754789365675044,1.3652524357662834e-06
38,Neighborhood_Briardale,0.003754701160073032,1.3624874391066598e-06
39,Neighborhood_Brookside,0.0037545334695302333,1.3834969015683903e-06
40,Neighborhood_Clear_Creek,0.003754544695289987,1.4169899679711706e-06
41,Neighborhood_College_Creek,0.0037541378425238036,3.827941077584868e-06
42,Neighborhood_Crawford,0.0037955805309906688,8.922270340965671e-06
43,Neighborhood_Edwards,0.003757632949785233,1.8226230628483523e-06
44,Neighborhood_Gilbert,0.003755841424597865,1.5017969560131673e-06
45,Neighborhood_Green_Hills,0.003754789365675044,1.3652524357662834e-06
46,Neighborhood_Greens,0.003754789365675044,1.3652524357662834e-06
47,Neighborhood_Iowa_DOT_and_Rail_Road,0.003754927679428846,1.3575558255516712e-06
48,Neighborhood_Landmark,0.003754789365675044,1.3652524357662834e-06
49,Neighborhood_Meadow_Village,0.0037557179075501314,1.4165134150572382e-06
50,Neighborhood_Mitchell,0.003755597378976796,1.676958481100224e-06
51,Neighborhood_North_Ames,0.003759537410396508,4.765337067369424e-06
52,Neighborhood_Northpark_Villa,0.003754573087807955,1.3601544161805209e-06
53,Neighborhood_Northridge,0.003753142956693797,3.886785293438298e-06
54,Neighborhood_Northridge_Heights,0.0037652190000104975,6.6071159688236296e-06
55,Neighborhood_Northwest_Ames,0.0037572633664027803,1.7772926178217189e-06
56,Neighborhood_Old_Town,0.003756160877999808,1.8828423515539856e-06
57,Neighborhood_Sawyer,0.003754991235905213,1.3736307763289187e-06
58,Neighborhood_Sawyer_West,0.0037555687744678643,1.7582773555522778e-06
59,Neighborhood_Somerset,0.00376378276837267,3.7987003608814964e-06
60,Neighborhood_South_and_West_of_Iowa_State_University,0.0037548761650377637,1.3821108254938588e-06
61,Neighborhood_Stone_Brook,0.003764412231906808,1.847698259748226e-06
62,Neighborhood_Timberland,0.0037575146570386474,2.816513436633978e-06
63,Neighborhood_Veenker,0.003758807074679123,1.7175052856533373e-06
64,Condition_1_Feedr,0.0037558907385810743,1.361726530699809e-06
65,Condition_1_Norm,0.003757194220284649,2.2083977979420246e-06
66,Condition_1_PosA,0.003754789365675044,1.3652524357662834e-06
67,Condition_1_PosN,0.003754752801567229,1.451872921144942e-06
68,Condition_1_RRAe,0.003754789365675044,1.3652524357662834e-06
69,Condition_1_RRAn,0.0037548941140797517,1.3662833635487806e-06
70,Condition_1_RRNe,0.003754789365675044,1.3652524357662834e-06
